time,relative_humidity_2m,temperature_2m,wind_speed_10m,dew_yield
2020-01-07 00:00:00,94.0,8.3,7.6,0.75
2020-01-07 01:00:00,95.0,7.9,9.4,0.75
2020-01-07 02:00:00,94.0,7.8,9.8,0.75
2020-01-07 03:00:00,93.0,7.5,9.8,0.75
2020-01-07 22:00:00,82.0,8.8,12.9,0.75
2020-01-07 23:00:00,82.0,8.6,13.6,0.75
2020-01-08 00:00:00,82.0,8.9,13.7,0.75
2020-01-08 01:00:00,81.0,9.0,14.4,0.75
2020-01-08 02:00:00,82.0,9.0,15.6,0.0
2020-01-08 03:00:00,83.0,9.0,17.2,0.0
2020-01-08 22:00:00,77.0,7.6,10.0,0.0
2020-01-08 23:00:00,80.0,6.9,8.7,0.0
2020-01-09 00:00:00,80.0,7.2,5.2,0.0
2020-01-09 01:00:00,79.0,7.0,5.3,0.0
2020-01-09 02:00:00,75.0,7.9,0.8,0.0
2020-01-09 03:00:00,82.0,7.1,3.7,0.75
2020-01-09 22:00:00,88.0,7.7,7.7,0.75
2020-01-09 23:00:00,90.0,7.2,8.0,0.75
2020-01-10 00:00:00,90.0,7.2,7.6,0.75
2020-01-10 01:00:00,88.0,7.2,8.3,0.75
2020-01-10 02:00:00,86.0,7.1,8.6,0.75
2020-01-10 03:00:00,84.0,7.0,9.8,0.75
2020-01-10 22:00:00,90.0,8.0,11.6,0.75
2020-01-10 23:00:00,91.0,7.7,12.8,0.75
2020-01-11 00:00:00,90.0,7.8,14.0,0.75
2020-01-11 01:00:00,91.0,7.5,15.5,0.0
2020-01-11 02:00:00,94.0,7.4,16.1,0.0
2020-01-11 03:00:00,95.0,7.2,16.1,0.0
2020-01-11 22:00:00,70.0,8.0,25.5,0.0
2020-01-11 23:00:00,73.0,7.5,23.9,0.0
2020-01-12 00:00:00,75.0,7.6,22.9,0.0
2020-01-12 01:00:00,77.0,7.2,22.9,0.0
2020-01-12 02:00:00,84.0,7.2,23.0,0.0
2020-01-12 03:00:00,88.0,6.9,21.7,0.0
2020-01-12 22:00:00,82.0,7.2,7.2,0.75
2020-01-12 23:00:00,87.0,6.3,6.4,0.75
2020-01-13 00:00:00,82.0,7.4,3.4,0.75
2020-01-13 01:00:00,85.0,6.9,3.3,0.75
2020-01-13 02:00:00,85.0,6.6,3.4,0.75
2020-01-13 03:00:00,87.0,5.6,4.7,0.75
2020-01-13 22:00:00,90.0,8.4,10.5,0.75
2020-01-13 23:00:00,92.0,7.8,16.1,0.0
2020-01-14 00:00:00,93.0,7.2,16.3,0.0
2020-01-14 01:00:00,95.0,6.7,16.8,0.0
2020-01-14 02:00:00,96.0,6.5,17.3,0.0
2020-01-14 03:00:00,97.0,6.1,15.5,0.0
2020-01-14 22:00:00,84.0,7.2,15.0,0.0
2020-01-14 23:00:00,86.0,6.7,14.6,0.75
2020-01-15 00:00:00,88.0,6.3,14.1,0.75
2020-01-15 01:00:00,89.0,5.6,14.3,0.75
2020-01-15 02:00:00,89.0,5.1,14.0,0.75
2020-01-15 03:00:00,90.0,4.6,12.4,0.75
2020-01-15 22:00:00,87.0,8.3,4.8,0.75
2020-01-15 23:00:00,89.0,8.3,5.4,0.75
2020-01-16 00:00:00,88.0,8.7,6.9,0.75
2020-01-16 01:00:00,88.0,8.8,6.1,0.75
2020-01-16 02:00:00,90.0,8.9,4.0,0.75
2020-01-16 03:00:00,90.0,8.6,2.5,0.75
2020-01-16 22:00:00,80.0,9.0,14.0,0.0
2020-01-16 23:00:00,79.0,9.3,14.8,0.0
2020-01-17 00:00:00,73.0,9.4,14.6,0.0
2020-01-17 01:00:00,73.0,9.4,14.8,0.0
2020-01-17 02:00:00,73.0,9.3,16.2,0.0
2020-01-17 03:00:00,72.0,9.3,16.3,0.0
2020-01-17 22:00:00,80.0,12.8,29.9,0.0
2020-01-17 23:00:00,82.0,12.6,32.0,0.0
2020-01-18 00:00:00,83.0,12.6,31.7,0.0
2020-01-18 01:00:00,84.0,12.6,30.5,0.0
2020-01-18 02:00:00,85.0,12.1,27.3,0.0
2020-01-18 03:00:00,84.0,12.2,25.6,0.0
2020-01-18 22:00:00,90.0,8.7,7.0,0.75
2020-01-18 23:00:00,89.0,9.1,5.0,0.75
2020-01-19 00:00:00,99.0,8.8,5.0,0.75
2020-01-19 01:00:00,100.0,8.0,8.0,0.75
2020-01-19 02:00:00,99.0,7.7,7.2,0.75
2020-01-19 03:00:00,100.0,7.7,7.2,0.75
2020-01-19 22:00:00,90.0,9.0,7.4,0.75
2020-01-19 23:00:00,90.0,8.9,7.4,0.75
2020-01-20 00:00:00,88.0,9.7,7.9,0.75
2020-01-20 01:00:00,86.0,9.8,9.2,0.75
2020-01-20 02:00:00,87.0,9.3,9.2,0.75
2020-01-20 03:00:00,88.0,8.9,9.0,0.75
2020-01-20 22:00:00,84.0,10.3,4.2,0.75
2020-01-20 23:00:00,84.0,10.4,2.1,0.75
2020-01-21 00:00:00,94.0,8.4,6.9,0.75
2020-01-21 01:00:00,99.0,7.8,7.9,0.75
2020-01-21 02:00:00,97.0,7.5,6.9,0.75
2020-01-21 03:00:00,99.0,7.5,9.1,0.75
2020-01-21 22:00:00,87.0,10.7,12.0,0.75
2020-01-21 23:00:00,87.0,10.5,10.6,0.75
2020-01-22 00:00:00,92.0,10.2,7.1,0.75
2020-01-22 01:00:00,92.0,10.2,11.3,0.75
2020-01-22 02:00:00,92.0,10.4,10.8,0.75
2020-01-22 03:00:00,91.0,10.6,14.5,0.75
2020-01-22 22:00:00,98.0,7.5,3.9,0.75
2020-01-22 23:00:00,98.0,7.5,3.8,0.75
2020-01-23 00:00:00,94.0,7.5,0.8,0.75
2020-01-23 01:00:00,99.0,7.0,2.5,0.75
2020-01-23 02:00:00,100.0,7.1,4.6,0.75
2020-01-23 03:00:00,100.0,6.8,7.0,0.75
2020-01-23 22:00:00,98.0,5.7,7.4,0.75
2020-01-23 23:00:00,98.0,5.6,8.1,0.75
2020-01-24 00:00:00,97.0,6.1,9.2,0.75
2020-01-24 01:00:00,96.0,6.2,9.7,0.75
2020-01-24 02:00:00,95.0,6.1,10.4,0.75
2020-01-24 03:00:00,94.0,6.1,12.6,0.75
2020-01-24 22:00:00,73.0,9.9,29.0,0.0
2020-01-24 23:00:00,77.0,9.3,26.1,0.0
2020-01-25 00:00:00,80.0,8.7,21.9,0.0
2020-01-25 01:00:00,84.0,8.2,15.6,0.0
2020-01-25 02:00:00,87.0,7.9,14.3,0.75
2020-01-25 03:00:00,91.0,7.6,10.1,0.75
2020-01-25 22:00:00,80.0,7.6,26.0,0.0
2020-01-25 23:00:00,74.0,7.4,26.7,0.0
2020-01-26 00:00:00,76.0,7.3,27.2,0.0
2020-01-26 01:00:00,80.0,7.2,28.6,0.0
2020-01-26 02:00:00,81.0,7.0,27.5,0.0
2020-01-26 03:00:00,81.0,6.7,27.3,0.0
2020-01-26 22:00:00,87.0,5.7,15.4,0.0
2020-01-26 23:00:00,88.0,5.3,15.6,0.0
2020-01-27 00:00:00,89.0,5.6,14.6,0.75
2020-01-27 01:00:00,90.0,5.2,15.0,0.0
2020-01-27 02:00:00,91.0,4.9,15.1,0.0
2020-01-27 03:00:00,91.0,4.7,14.7,0.75
2020-01-27 22:00:00,91.0,4.9,10.3,0.75
2020-01-27 23:00:00,91.0,4.7,10.7,0.75
2020-01-28 00:00:00,92.0,4.9,11.0,0.75
2020-01-28 01:00:00,92.0,4.9,10.5,0.75
2020-01-28 02:00:00,93.0,4.4,9.9,0.75
2020-01-28 03:00:00,95.0,3.9,9.5,0.75
2020-01-28 22:00:00,86.0,8.5,10.0,0.75
2020-01-28 23:00:00,88.0,8.1,10.2,0.75
2020-01-29 00:00:00,87.0,8.1,9.7,0.75
2020-01-29 01:00:00,88.0,7.4,10.0,0.75
2020-01-29 02:00:00,89.0,7.0,10.7,0.75
2020-01-29 03:00:00,89.0,6.9,11.1,0.75
2020-01-29 22:00:00,93.0,7.1,8.1,0.75
2020-01-29 23:00:00,95.0,6.6,7.4,0.75
2020-01-30 00:00:00,94.0,7.2,6.4,0.75
2020-01-30 01:00:00,92.0,8.3,4.0,0.75
2020-01-30 02:00:00,93.0,8.0,3.9,0.75
2020-01-30 03:00:00,98.0,6.2,7.2,0.75
2020-01-30 22:00:00,91.0,9.8,3.8,0.75
2020-01-30 23:00:00,95.0,9.1,3.1,0.75
2020-01-31 00:00:00,98.0,8.2,4.4,0.75
2020-01-31 01:00:00,100.0,7.6,4.5,0.75
2020-01-31 02:00:00,100.0,7.4,3.9,0.75
2020-01-31 03:00:00,100.0,6.3,3.7,0.75
2020-01-31 22:00:00,75.0,11.7,24.6,0.0
2020-01-31 23:00:00,76.0,11.2,19.4,0.0
2020-02-01 00:00:00,74.0,10.5,16.2,0.0
2020-02-01 01:00:00,64.0,10.7,19.0,0.0
2020-02-01 02:00:00,66.0,9.9,20.0,0.0
2020-02-01 03:00:00,75.0,8.5,17.1,0.0
2020-02-01 22:00:00,70.0,7.8,9.2,0.0
2020-02-01 23:00:00,65.0,8.5,10.2,0.0
2020-02-02 00:00:00,65.0,9.8,12.0,0.0
2020-02-02 01:00:00,70.0,9.7,8.9,0.0
2020-02-02 02:00:00,74.0,9.3,6.9,0.0
2020-02-02 03:00:00,76.0,8.9,7.4,0.0
2020-02-02 22:00:00,78.0,5.6,13.5,0.0
2020-02-02 23:00:00,79.0,5.4,13.5,0.0
2020-02-03 00:00:00,80.0,5.5,12.8,0.0
2020-02-03 01:00:00,81.0,5.3,13.0,0.75
2020-02-03 02:00:00,82.0,4.9,13.5,0.75
2020-02-03 03:00:00,84.0,4.6,13.0,0.75
2020-02-03 22:00:00,91.0,4.4,8.4,0.75
2020-02-03 23:00:00,93.0,4.0,8.9,0.75
2020-02-04 00:00:00,93.0,4.4,8.5,0.75
2020-02-04 01:00:00,93.0,4.1,7.9,0.75
2020-02-04 02:00:00,94.0,3.7,7.9,0.75
2020-02-04 03:00:00,94.0,3.3,7.1,0.75
2020-02-04 22:00:00,84.0,6.3,9.3,0.75
2020-02-04 23:00:00,86.0,5.8,9.4,0.75
2020-02-05 00:00:00,82.0,6.4,10.4,0.75
2020-02-05 01:00:00,83.0,6.2,9.9,0.75
2020-02-05 02:00:00,85.0,5.7,9.7,0.75
2020-02-05 03:00:00,87.0,5.4,9.3,0.75
2020-02-05 22:00:00,85.0,7.7,8.7,0.75
2020-02-05 23:00:00,86.0,7.4,9.0,0.75
2020-02-06 00:00:00,87.0,7.6,8.7,0.75
2020-02-06 01:00:00,87.0,7.6,9.4,0.75
2020-02-06 02:00:00,87.0,7.5,10.1,0.75
2020-02-06 03:00:00,87.0,7.2,10.1,0.75
2020-02-06 22:00:00,65.0,13.5,18.2,0.0
2020-02-06 23:00:00,65.0,13.3,19.0,0.0
2020-02-07 00:00:00,62.0,13.5,18.8,0.0
2020-02-07 01:00:00,62.0,13.5,19.5,0.0
2020-02-07 02:00:00,63.0,13.6,19.9,0.0
2020-02-07 03:00:00,63.0,13.6,20.7,0.0
2020-02-07 22:00:00,82.0,11.9,13.5,0.75
2020-02-07 23:00:00,84.0,11.4,14.5,0.75
2020-02-08 00:00:00,86.0,11.6,13.9,0.75
2020-02-08 01:00:00,86.0,11.4,14.3,0.75
2020-02-08 02:00:00,89.0,10.4,5.5,0.75
2020-02-08 03:00:00,90.0,9.7,9.0,0.75
2020-02-08 22:00:00,44.0,12.4,21.1,0.0
2020-02-08 23:00:00,51.0,11.0,15.6,0.0
2020-02-09 00:00:00,61.0,10.0,12.6,0.0
2020-02-09 01:00:00,61.0,9.8,16.5,0.0
2020-02-09 02:00:00,60.0,10.0,17.0,0.0
2020-02-09 03:00:00,69.0,8.7,15.9,0.0
2020-02-09 22:00:00,71.0,6.7,18.1,0.0
2020-02-09 23:00:00,74.0,6.2,19.6,0.0
2020-02-10 00:00:00,64.0,4.9,26.8,0.0
2020-02-10 01:00:00,70.0,3.8,21.6,0.0
2020-02-10 02:00:00,68.0,4.1,18.9,0.0
2020-02-10 03:00:00,60.0,4.4,18.5,0.0
2020-02-10 22:00:00,81.0,-0.1,12.2,0.75
2020-02-10 23:00:00,68.0,1.0,8.7,0.0
2020-02-11 00:00:00,64.0,1.0,8.7,0.0
2020-02-11 01:00:00,60.0,1.3,10.0,0.0
2020-02-11 02:00:00,58.0,1.7,12.6,0.0
2020-02-11 03:00:00,59.0,1.5,15.6,0.0
2020-02-11 22:00:00,63.0,0.4,11.7,0.0
2020-02-11 23:00:00,65.0,0.1,11.6,0.0
2020-02-12 00:00:00,68.0,0.2,11.0,0.0
2020-02-12 01:00:00,74.0,-0.7,11.0,0.0
2020-02-12 02:00:00,76.0,-1.0,11.5,0.0
2020-02-12 03:00:00,78.0,-1.4,11.0,0.0
2020-02-12 22:00:00,66.0,2.4,10.6,0.0
2020-02-12 23:00:00,60.0,3.2,11.4,0.0
2020-02-13 00:00:00,58.0,3.5,11.7,0.0
2020-02-13 01:00:00,59.0,3.4,12.3,0.0
2020-02-13 02:00:00,63.0,3.0,11.5,0.0
2020-02-13 03:00:00,67.0,2.6,11.3,0.0
2020-02-13 22:00:00,65.0,7.3,15.0,0.0
2020-02-13 23:00:00,67.0,6.9,13.9,0.0
2020-02-14 00:00:00,66.0,7.5,15.1,0.0
2020-02-14 01:00:00,67.0,7.3,15.3,0.0
2020-02-14 02:00:00,70.0,6.9,14.6,0.0
2020-02-14 03:00:00,73.0,6.3,13.2,0.0
2020-02-14 22:00:00,62.0,7.9,17.7,0.0
2020-02-14 23:00:00,65.0,7.0,16.4,0.0
2020-02-15 00:00:00,66.0,7.3,15.3,0.0
2020-02-15 01:00:00,69.0,7.0,16.0,0.0
2020-02-15 02:00:00,73.0,6.7,15.9,0.0
2020-02-15 03:00:00,76.0,6.3,15.0,0.0
2020-02-15 22:00:00,62.0,10.6,4.4,0.0
2020-02-15 23:00:00,74.0,8.1,5.8,0.0
2020-02-16 00:00:00,81.0,7.6,5.9,0.75
2020-02-16 01:00:00,88.0,6.4,8.6,0.75
2020-02-16 02:00:00,91.0,5.9,8.7,0.75
2020-02-16 03:00:00,93.0,5.7,8.4,0.75
2020-02-16 22:00:00,51.0,15.3,29.4,0.0
2020-02-16 23:00:00,58.0,14.5,23.7,0.0
2020-02-17 00:00:00,58.0,15.2,23.8,0.0
2020-02-17 01:00:00,64.0,14.8,20.7,0.0
2020-02-17 02:00:00,69.0,14.6,19.9,0.0
2020-02-17 03:00:00,71.0,14.6,22.9,0.0
2020-02-17 22:00:00,81.0,14.0,11.9,0.75
2020-02-17 23:00:00,85.0,13.6,12.2,0.75
2020-02-18 00:00:00,76.0,15.0,4.2,0.0
2020-02-18 01:00:00,84.0,13.0,5.4,0.75
2020-02-18 02:00:00,79.0,14.1,4.5,0.0
2020-02-18 03:00:00,89.0,11.2,9.3,0.75
2020-02-18 22:00:00,75.0,16.3,16.3,0.0
2020-02-18 23:00:00,72.0,16.0,14.8,0.0
2020-02-19 00:00:00,68.0,16.0,15.3,0.0
2020-02-19 01:00:00,66.0,15.9,15.6,0.0
2020-02-19 02:00:00,66.0,15.5,16.5,0.0
2020-02-19 03:00:00,66.0,15.3,18.2,0.0
2020-02-19 22:00:00,75.0,16.3,16.8,0.0
2020-02-19 23:00:00,79.0,16.0,17.8,0.0
2020-02-20 00:00:00,77.0,15.6,22.3,0.0
2020-02-20 01:00:00,79.0,14.9,22.0,0.0
2020-02-20 02:00:00,88.0,14.4,18.7,0.0
2020-02-20 03:00:00,91.0,13.9,15.3,0.0
2020-02-20 22:00:00,95.0,11.0,6.5,0.75
2020-02-20 23:00:00,95.0,10.7,5.7,0.75
2020-02-21 00:00:00,94.0,10.7,5.7,0.75
2020-02-21 01:00:00,95.0,10.1,5.0,0.75
2020-02-21 02:00:00,96.0,9.8,4.8,0.75
2020-02-21 03:00:00,97.0,9.3,6.6,0.75
2020-02-21 22:00:00,79.0,13.1,2.1,0.0
2020-02-21 23:00:00,80.0,12.7,2.5,0.0
2020-02-22 00:00:00,89.0,10.7,6.8,0.75
2020-02-22 01:00:00,93.0,10.0,8.9,0.75
2020-02-22 02:00:00,95.0,9.7,9.7,0.75
2020-02-22 03:00:00,96.0,9.4,10.2,0.75
2020-02-22 22:00:00,73.0,15.4,17.9,0.0
2020-02-22 23:00:00,75.0,14.9,19.2,0.0
2020-02-23 00:00:00,79.0,14.1,16.1,0.0
2020-02-23 01:00:00,81.0,13.7,14.4,0.75
2020-02-23 02:00:00,84.0,13.1,13.5,0.75
2020-02-23 03:00:00,86.0,12.7,13.6,0.75
2020-02-23 22:00:00,86.0,14.1,9.4,0.75
2020-02-23 23:00:00,87.0,14.1,9.4,0.75
2020-02-24 00:00:00,86.0,14.4,9.3,0.75
2020-02-24 01:00:00,85.0,14.4,8.9,0.75
2020-02-24 02:00:00,84.0,14.2,9.5,0.75
2020-02-24 03:00:00,83.0,13.8,9.0,0.75
2020-02-24 22:00:00,88.0,16.5,25.3,0.0
2020-02-24 23:00:00,89.0,16.4,25.8,0.0
2020-02-25 00:00:00,89.0,16.7,20.6,0.0
2020-02-25 01:00:00,89.0,16.5,21.7,0.0
2020-02-25 02:00:00,89.0,16.1,20.9,0.0
2020-02-25 03:00:00,88.0,16.0,23.2,0.0
2020-02-25 22:00:00,67.0,13.1,19.3,0.0
2020-02-25 23:00:00,73.0,12.0,18.9,0.0
2020-02-26 00:00:00,79.0,11.2,11.9,0.0
2020-02-26 01:00:00,81.0,10.9,12.2,0.75
2020-02-26 02:00:00,83.0,11.1,9.4,0.75
2020-02-26 03:00:00,87.0,10.8,8.9,0.75
2020-02-26 22:00:00,94.0,10.8,8.7,0.75
2020-02-26 23:00:00,97.0,10.0,7.9,0.75
2020-02-27 00:00:00,95.0,10.0,6.9,0.75
2020-02-27 01:00:00,97.0,9.3,6.0,0.75
2020-02-27 02:00:00,99.0,9.2,4.8,0.75
2020-02-27 03:00:00,100.0,8.6,5.4,0.75
2020-02-27 22:00:00,85.0,11.5,12.7,0.75
2020-02-27 23:00:00,87.0,11.0,13.4,0.75
2020-02-28 00:00:00,87.0,11.5,14.1,0.75
2020-02-28 01:00:00,87.0,11.5,13.8,0.75
2020-02-28 02:00:00,88.0,11.3,13.7,0.75
2020-02-28 03:00:00,90.0,10.9,13.1,0.75
2020-02-28 22:00:00,93.0,9.7,8.4,0.75
2020-02-28 23:00:00,94.0,9.3,8.3,0.75
2020-02-29 00:00:00,93.0,9.8,7.2,0.75
2020-02-29 01:00:00,93.0,9.8,6.5,0.75
2020-02-29 02:00:00,93.0,9.8,5.9,0.75
2020-02-29 03:00:00,92.0,10.2,4.3,0.75
2020-02-29 22:00:00,88.0,11.8,9.7,0.75
2020-02-29 23:00:00,87.0,11.9,10.3,0.75
2020-03-01 00:00:00,87.0,12.4,9.8,0.75
2020-03-01 01:00:00,87.0,12.8,9.8,0.75
2020-03-01 02:00:00,89.0,12.4,9.8,0.75
2020-03-01 03:00:00,90.0,12.3,11.1,0.75
2020-03-01 22:00:00,87.0,10.0,9.0,0.75
2020-03-01 23:00:00,88.0,9.4,8.4,0.75
2020-03-02 00:00:00,86.0,10.0,9.4,0.75
2020-03-02 01:00:00,87.0,9.5,9.3,0.75
2020-03-02 02:00:00,84.0,9.5,10.4,0.75
2020-03-02 03:00:00,82.0,9.6,11.3,0.75
2020-03-02 22:00:00,96.0,9.2,8.0,0.75
2020-03-02 23:00:00,96.0,8.9,9.0,0.75
2020-03-03 00:00:00,93.0,9.4,9.5,0.75
2020-03-03 01:00:00,92.0,9.3,10.0,0.75
2020-03-03 02:00:00,93.0,9.1,9.3,0.75
2020-03-03 03:00:00,93.0,9.3,10.5,0.75
2020-03-03 22:00:00,76.0,11.3,18.8,0.0
2020-03-03 23:00:00,78.0,10.8,18.8,0.0
2020-03-04 00:00:00,78.0,11.0,19.6,0.0
2020-03-04 01:00:00,80.0,10.7,19.6,0.0
2020-03-04 02:00:00,81.0,10.5,19.8,0.0
2020-03-04 03:00:00,82.0,10.4,19.9,0.0
2020-03-04 22:00:00,78.0,11.5,14.3,0.0
2020-03-04 23:00:00,80.0,11.2,15.1,0.0
2020-03-05 00:00:00,81.0,11.6,15.3,0.0
2020-03-05 01:00:00,84.0,11.0,13.7,0.75
2020-03-05 02:00:00,88.0,10.3,12.6,0.75
2020-03-05 03:00:00,89.0,9.9,12.7,0.75
2020-03-05 22:00:00,86.0,11.9,10.0,0.75
2020-03-05 23:00:00,87.0,11.4,10.2,0.75
2020-03-06 00:00:00,89.0,11.6,9.1,0.75
2020-03-06 01:00:00,90.0,11.0,6.9,0.75
2020-03-06 02:00:00,93.0,10.4,6.1,0.75
2020-03-06 03:00:00,98.0,9.4,6.8,0.75
2020-03-06 22:00:00,50.0,18.0,31.9,0.0
2020-03-06 23:00:00,51.0,17.3,35.1,0.0
2020-03-07 00:00:00,56.0,16.6,22.7,0.0
2020-03-07 01:00:00,48.0,16.6,28.6,0.0
2020-03-07 02:00:00,45.0,16.4,26.3,0.0
2020-03-07 03:00:00,50.0,15.6,23.7,0.0
2020-03-07 22:00:00,85.0,13.1,9.3,0.75
2020-03-07 23:00:00,85.0,13.0,11.2,0.75
2020-03-08 00:00:00,83.0,13.4,11.2,0.75
2020-03-08 01:00:00,87.0,13.0,10.8,0.75
2020-03-08 02:00:00,89.0,12.7,13.2,0.75
2020-03-08 03:00:00,87.0,12.8,10.2,0.75
2020-03-08 22:00:00,66.0,14.9,17.3,0.0
2020-03-08 23:00:00,68.0,14.3,16.6,0.0
2020-03-09 00:00:00,69.0,14.3,16.8,0.0
2020-03-09 01:00:00,71.0,13.7,15.3,0.0
2020-03-09 02:00:00,73.0,13.2,14.1,0.0
2020-03-09 03:00:00,77.0,12.5,13.4,0.0
2020-03-09 22:00:00,74.0,13.9,7.9,0.0
2020-03-09 23:00:00,80.0,12.6,9.4,0.0
2020-03-10 00:00:00,84.0,13.2,6.3,0.75
2020-03-10 01:00:00,88.0,12.3,7.6,0.75
2020-03-10 02:00:00,87.0,11.9,8.1,0.75
2020-03-10 03:00:00,75.0,14.3,3.7,0.0
2020-03-10 22:00:00,80.0,12.9,8.3,0.0
2020-03-10 23:00:00,83.0,12.1,8.3,0.75
2020-03-11 00:00:00,80.0,12.7,10.3,0.0
2020-03-11 01:00:00,84.0,11.7,8.4,0.75
2020-03-11 02:00:00,86.0,11.3,8.5,0.75
2020-03-11 03:00:00,84.0,11.3,8.6,0.75
2020-03-11 22:00:00,71.0,14.4,10.9,0.0
2020-03-11 23:00:00,75.0,13.5,10.2,0.0
2020-03-12 00:00:00,78.0,13.4,8.4,0.0
2020-03-12 01:00:00,80.0,12.9,7.2,0.0
2020-03-12 02:00:00,80.0,12.6,7.8,0.0
2020-03-12 03:00:00,82.0,12.3,8.1,0.75
2020-03-12 22:00:00,61.0,17.6,11.8,0.0
2020-03-12 23:00:00,61.0,17.4,12.0,0.0
2020-03-13 00:00:00,62.0,17.7,12.2,0.0
2020-03-13 01:00:00,62.0,17.6,11.6,0.0
2020-03-13 02:00:00,65.0,17.2,11.0,0.0
2020-03-13 03:00:00,67.0,17.1,12.2,0.0
2020-03-13 22:00:00,31.0,19.4,28.0,0.0
2020-03-13 23:00:00,37.0,18.4,26.9,0.0
2020-03-14 00:00:00,37.0,18.2,26.3,0.0
2020-03-14 01:00:00,44.0,17.5,14.4,0.0
2020-03-14 02:00:00,51.0,16.6,13.0,0.0
2020-03-14 03:00:00,55.0,16.3,21.4,0.0
2020-03-14 22:00:00,88.0,14.2,19.6,0.0
2020-03-14 23:00:00,90.0,14.0,19.5,0.0
2020-03-15 00:00:00,90.0,14.3,18.1,0.0
2020-03-15 01:00:00,91.0,14.3,16.2,0.0
2020-03-15 02:00:00,92.0,14.3,15.2,0.0
2020-03-15 03:00:00,91.0,14.3,15.4,0.0
2020-03-15 22:00:00,98.0,14.2,6.4,0.75
2020-03-15 23:00:00,99.0,13.7,6.1,0.75
2020-03-16 00:00:00,99.0,13.9,5.9,0.75
2020-03-16 01:00:00,99.0,13.8,7.0,0.75
2020-03-16 02:00:00,99.0,13.6,7.6,0.75
2020-03-16 03:00:00,98.0,13.4,8.0,0.75
2020-03-16 22:00:00,93.0,15.2,7.6,0.75
2020-03-16 23:00:00,95.0,14.5,6.3,0.75
2020-03-17 00:00:00,94.0,15.1,7.3,0.75
2020-03-17 01:00:00,95.0,14.8,7.2,0.75
2020-03-17 02:00:00,95.0,14.5,7.4,0.75
2020-03-17 03:00:00,96.0,14.1,7.1,0.75
2020-03-17 22:00:00,71.0,18.8,29.9,0.0
2020-03-17 23:00:00,72.0,18.5,27.9,0.0
2020-03-18 00:00:00,71.0,18.4,25.0,0.0
2020-03-18 01:00:00,74.0,18.0,24.9,0.0
2020-03-18 02:00:00,76.0,17.5,26.1,0.0
2020-03-18 03:00:00,80.0,17.0,27.9,0.0
2020-03-18 22:00:00,95.0,13.4,9.4,0.75
2020-03-18 23:00:00,97.0,13.0,9.3,0.75
2020-03-19 00:00:00,96.0,12.5,7.7,0.75
2020-03-19 01:00:00,95.0,12.7,9.7,0.75
2020-03-19 02:00:00,94.0,12.5,9.7,0.75
2020-03-19 03:00:00,95.0,12.2,10.1,0.75
2020-03-19 22:00:00,85.0,10.8,7.9,0.75
2020-03-19 23:00:00,91.0,10.9,9.5,0.75
2020-03-20 00:00:00,92.0,11.3,10.0,0.75
2020-03-20 01:00:00,88.0,11.8,11.2,0.75
2020-03-20 02:00:00,87.0,11.4,10.5,0.75
2020-03-20 03:00:00,86.0,11.0,10.7,0.75
2020-03-20 22:00:00,84.0,13.1,24.0,0.0
2020-03-20 23:00:00,84.0,13.0,24.1,0.0
